Temp_max,Temp_min,Vent,PLV,EVA,APP
4,17.0,11,0.100000001490116,1.9,0.0
10,11.0,44,56.0,1.4,0.6495
5,14.0,22,1.2,1.5,0.0257
10,22.0,39,0.0,1.0,0.0012
14,30.0,16,0.0,4.5,0.0
18,24.0,24,7.29999995231628,6.7,0.0005
22,31.0,24,33.39999985694888,8.23,0.0
23,35.0,31,17.500000238418576,8.05,0.0353
25,34.0,39,23.79999997019768,2.9,0.0028
16,24.0,26,2.5,3.3,0.0002
11,25.0,11,2.100000038743021,1.4,0.0093
9,17.0,29,16.50000009685755,2.5,0.0103
22,29.0,29,30.700000238418582,4.6,0.0045
23,29.0,29,0.0,5.0,0.0049
22,29.0,34,0.0,5.1,0.0
20,31.0,27,0.0,5.0,0.0049
18,27.0,26,29.200000286102288,5.3,0.0001
19,32.0,37,160.00000076293952,3.1,0.003
19,27.0,26,227.80000209808355,2.0,0.122
19,26.0,39,1.399999976158142,3.0,0.0029
17,27.0,28,0.0,4.8,0.0
18,28.0,21,0.0,4.5,0.0044
16,27.0,27,0.0,5.1,0.005
16,26.0,15,0.0,5.0,0.0
17,27.0,16,0.0,5.0,0.0
16,27.0,22,0.0,5.4,0.0003
16,28.0,15,0.0,6.0,0.0
18,30.0,27,0.0,5.7,0.0
21,30.0,26,1.100000023841858,5.3,0.0002
20,27.0,34,8.199999995529652,4.2,0.0001
2,17.0,9,6.800000011920929,2.3,0.0021
8,13.0,35,47.8,0.0,1.475
7,14.0,21,11.0,1.2,0.0014
8,13.0,44,59.30000020563603,0.0,0.012
16,33.0,27,0.0,4.7,0.0
16,24.0,26,1.5,4.8,0.0054
23,29.0,22,8.199999965727327,8.35,0.03
25,37.0,28,3.5000000000000044,9.25,0.0365
22,30.0,27,0.0,4.3,0.0
18,25.0,26,0.0,3.6,0.0035
11,24.0,15,0.0,1.9,0.0097
7,14.0,15,45.600000157952316,1.2,0.0091
18,28.0,26,118.6999995008111,3.4,0.0013
18,28.0,22,140.30000019073486,2.49,0.0124
21,28.0,21,0.0,3.8,0.0256
19,29.0,15,0.0,3.5,0.0134
20,29.0,13,0.0,3.6,0.0134
18,29.0,24,0.0,3.91,0.0137
20,31.0,26,23.60000038146973,4.37,0.0142
20,27.0,31,61.9,3.18,0.013
21,28.0,22,0.0,4.21,0.014
19,27.0,15,0.0,4.89,0.0026
17,30.0,15,0.0,3.06,0.0009
18,26.0,15,0.0,3.4,0.0011
17,25.0,15,0.0,3.06,0.0108
16,25.0,15,0.0,2.35,0.0241
15,27.0,27,0.0,2.4,0.0102
16,29.0,21,0.0,2.82,0.0105
18,30.0,22,0.0,2.4,0.0102
18,29.0,22,0.0,2.82,0.0106
18,30.0,26,0.0,2.94,0.0107
4,15.0,14,0.0,1.1,0.001
6,15.0,31,4.7,0.36,0.3454
7,17.0,24,0.0,1.7,0.002
8,16.0,42,6.1,0.6,0.0487
18,31.0,28,43.300000190734835,5.0,0.0
15,27.0,34,137.9999995231629,7.0,0.0
22,29.0,35,88.79999897480005,6.1,0.0196
26,36.0,29,22.0,9.85,0.0371
20,32.0,26,0.0,5.0,0.0049
16,26.0,21,0.0,3.8,0.0
12,24.0,15,5.0,2.35,0.0101
9,12.0,28,36.59999990463257,2.35,0.0242
15,24.0,22,68.69999980926514,1.14,0.023
14,28.0,26,1.5,2.35,0.0102
19,27.0,31,0.0,2.2,0.01
16,23.0,27,2.5,3.55,0.0113
13,18.0,34,32.599999740719795,1.8,0.0097
14,21.0,22,62.29999962151048,1.08,0.023
14,19.0,26,10.10000002384186,1.14,0.009000000000000001
10,18.0,22,38.799999237060504,2.35,0.0102
8,17.0,26,21.5,2.15,0.01
11,19.0,28,11.20000004768372,2.8,0.0106
9,14.0,24,60.60000038146973,3.0,0.0108
7,14.0,24,3.300000011920929,2.35,0.0102
8,16.0,29,3.600000023841858,1.68,0.0
5,21.0,29,0.0,2.5,0.0383
9,17.0,35,3.0,2.35,0.0102
6,17.0,28,0.5,1.14,0.0091
4,16.0,13,3.0,3.0,0.0108
12,15.0,15,13.0,2.56,0.0104
8,16.0,21,55.399999976158135,1.08,0.001
