DATE,Temp_max,Temp_min,Vent,PLV,EVA,APP
2005-09-01,4,17.0,11,0.100000001490116,1.9,0.0
2005-09-02,10,11.0,44,56.0,1.4,0.6495
2005-09-03,5,14.0,22,1.2,1.5,0.0257
2005-09-04,10,22.0,39,0.0,1.0,0.0012
2005-09-05,14,30.0,16,0.0,4.5,0.0
2005-09-06,18,24.0,24,7.29999995231628,6.7,0.0005
2005-09-07,22,31.0,24,33.39999985694888,8.23,0.0
2005-09-08,23,35.0,31,17.500000238418576,8.05,0.0353
2005-09-09,25,34.0,39,23.79999997019768,2.9,0.0028
2005-09-10,16,24.0,26,2.5,3.3,0.0002
2005-09-11,11,25.0,11,2.100000038743021,1.4,0.0093
2005-09-12,9,17.0,29,16.50000009685755,2.5,0.0103
2005-09-13,22,29.0,29,30.700000238418582,4.6,0.0045
2005-09-14,23,29.0,29,0.0,5.0,0.0049
2005-09-15,22,29.0,34,0.0,5.1,0.0
2005-09-16,20,31.0,27,0.0,5.0,0.0049
2005-09-17,18,27.0,26,29.200000286102288,5.3,0.0001
2005-09-18,19,32.0,37,160.00000076293952,3.1,0.003
2005-09-19,19,27.0,26,227.80000209808355,2.0,0.122
2005-09-20,19,26.0,39,1.399999976158142,3.0,0.0029
2005-09-21,17,27.0,28,0.0,4.8,0.0
2005-09-22,18,28.0,21,0.0,4.5,0.0044
2005-09-23,16,27.0,27,0.0,5.1,0.005
2005-09-24,16,26.0,15,0.0,5.0,0.0
2005-09-25,17,27.0,16,0.0,5.0,0.0
2005-09-26,16,27.0,22,0.0,5.4,0.0003
2005-09-27,16,28.0,15,0.0,6.0,0.0
2005-09-28,18,30.0,27,0.0,5.7,0.0
2005-09-29,21,30.0,26,1.100000023841858,5.3,0.0002
2005-09-30,20,27.0,34,8.199999995529652,4.2,0.0001
2005-10-01,2,17.0,9,6.800000011920929,2.3,0.0021
2005-10-02,8,13.0,35,47.8,0.0,1.475
2005-10-03,7,14.0,21,11.0,1.2,0.0014
2005-10-04,8,13.0,44,59.30000020563603,0.0,0.012
2005-10-05,16,33.0,27,0.0,4.7,0.0
2005-10-06,16,24.0,26,1.5,4.8,0.0054
2005-10-07,23,29.0,22,8.199999965727327,8.35,0.03
2005-10-08,25,37.0,28,3.5000000000000044,9.25,0.0365
2005-10-09,22,30.0,27,0.0,4.3,0.0
2005-10-10,18,25.0,26,0.0,3.6,0.0035
2005-10-11,11,24.0,15,0.0,1.9,0.0097
2005-10-12,7,14.0,15,45.600000157952316,1.2,0.0091
2005-10-13,18,28.0,26,118.6999995008111,3.4,0.0013
2005-10-14,18,28.0,22,140.30000019073486,2.49,0.0124
2005-10-15,21,28.0,21,0.0,3.8,0.0256
2005-10-16,19,29.0,15,0.0,3.5,0.0134
2005-10-17,20,29.0,13,0.0,3.6,0.0134
2005-10-18,18,29.0,24,0.0,3.91,0.0137
2005-10-19,20,31.0,26,23.60000038146973,4.37,0.0142
2005-10-20,20,27.0,31,61.9,3.18,0.013
2005-10-21,21,28.0,22,0.0,4.21,0.014
2005-10-22,19,27.0,15,0.0,4.89,0.0026
2005-10-23,17,30.0,15,0.0,3.06,0.0009
2005-10-24,18,26.0,15,0.0,3.4,0.0011
2005-10-25,17,25.0,15,0.0,3.06,0.0108
2005-10-26,16,25.0,15,0.0,2.35,0.0241
2005-10-27,15,27.0,27,0.0,2.4,0.0102
2005-10-28,16,29.0,21,0.0,2.82,0.0105
2005-10-29,18,30.0,22,0.0,2.4,0.0102
2005-10-30,18,29.0,22,0.0,2.82,0.0106
2005-10-31,18,30.0,26,0.0,2.94,0.0107
2005-11-01,4,15.0,14,0.0,1.1,0.001
2005-11-02,6,15.0,31,4.7,0.36,0.3454
2005-11-03,7,17.0,24,0.0,1.7,0.002
2005-11-04,8,16.0,42,6.1,0.6,0.0487
2005-11-05,18,31.0,28,43.300000190734835,5.0,0.0
2005-11-06,15,27.0,34,137.9999995231629,7.0,0.0
2005-11-07,22,29.0,35,88.79999897480005,6.1,0.0196
2005-11-08,26,36.0,29,22.0,9.85,0.0371
2005-11-09,20,32.0,26,0.0,5.0,0.0049
2005-11-10,16,26.0,21,0.0,3.8,0.0
2005-11-11,12,24.0,15,5.0,2.35,0.0101
2005-11-12,9,12.0,28,36.59999990463257,2.35,0.0242
2005-11-13,15,24.0,22,68.69999980926514,1.14,0.023
2005-11-14,14,28.0,26,1.5,2.35,0.0102
2005-11-15,19,27.0,31,0.0,2.2,0.01
2005-11-16,16,23.0,27,2.5,3.55,0.0113
2005-11-17,13,18.0,34,32.599999740719795,1.8,0.0097
2005-11-18,14,21.0,22,62.29999962151048,1.08,0.023
2005-11-19,14,19.0,26,10.10000002384186,1.14,0.009000000000000001
2005-11-20,10,18.0,22,38.799999237060504,2.35,0.0102
2005-11-21,8,17.0,26,21.5,2.15,0.01
2005-11-22,11,19.0,28,11.20000004768372,2.8,0.0106
2005-11-23,9,14.0,24,60.60000038146973,3.0,0.0108
2005-11-24,7,14.0,24,3.300000011920929,2.35,0.0102
2005-11-25,8,16.0,29,3.600000023841858,1.68,0.0
2005-11-26,5,21.0,29,0.0,2.5,0.0383
2005-11-27,9,17.0,35,3.0,2.35,0.0102
2005-11-28,6,17.0,28,0.5,1.14,0.0091
2005-11-29,4,16.0,13,3.0,3.0,0.0108
2005-11-30,12,15.0,15,13.0,2.56,0.0104
2005-12-01,8,16.0,21,55.399999976158135,1.08,0.001
2005-12-02,9,15.0,21,4.300000071525579,1.0,0.1451
2005-12-03,8,17.0,22,0.0,2.04,0.0024
2005-12-04,11,17.0,35,1.5,0.9,0.001
2005-12-05,18,30.0,28,0.0,4.7,0.0
2005-12-06,21,36.0,28,0.0,6.2,0.0
2005-12-07,21,31.0,29,0.0,7.87,0.0215
2005-12-08,25,32.0,34,0.100000001490116,10.15,0.0375
2005-12-09,21,27.0,16,1.800000011920929,5.1,0.0
2005-12-10,21,27.0,26,116.79999887943266,3.4,0.0003
2005-12-11,13,23.0,27,291.80000209808355,1.48,0.0094
2005-12-12,8,15.0,16,376.0,0.0,0.036000000000000004
2005-12-13,9,15.0,41,446.4999992847442,1.02,0.009000000000000001
2005-12-14,13,17.0,41,813.0000000476837,1.02,0.4719
2005-12-15,11,16.0,26,41.39999957084657,0.7,0.0846
2005-12-16,10,15.0,24,3.900000035762789,1.02,0.0059
